,Unnamed: 0,Unnamed: 0.1,No.,Job_Company,Job_Title,Job_Description,Education_level,Skills_Requirement,python,nosql,sql,r,ai,r語言,mysql,mongodb,資料庫,javascript,機器學習,深度學習,資料探勘,文字探勘,linux,統計學,資料分析,sap,sas,java,c++,c#
85,85,85,86,德昂資訊股份有限公司,JAVA開發運維工程師 --台湾或者高雄,"崗位職責：
1. 新系統開發
2. 核心系統運維
3. 系統分析
4. BI分析

任職要求：
1、具有扎實的Java功底，具有較好的JavaIO、多綫程等方面的編程能力；
2、熟悉常見設計模式，熟練使用 SpringMVC,SpringBoot 框架、熟練使用至少一種 ORM 框架如 Hibernate、MyBatis；
3、熟悉SpringCloud,Dubbo微服務框架，以及相關組件，幷且可以從事微服務項目的運維工作，常見WEB項目的部署安裝，問題排查與解决等；
4、熟悉Mysql/Oracle數據庫設計，具有SQL編寫及調優能力，熟悉常見NoSQL存儲；
5、具有良好的編碼風格，較强的邏輯思維能力，有較好的自學能力和獨立工作能力
",專科以上,"['sql', 'java', '資料分析', 'mysql', 'nosql']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,87,安訊集團_安訊國際網路股份有限公司,VE1 - 數據分析師,"◆ElasticSearch 資料匯入與分析
◆ Data Warehouse ETL建置程序設計
◆ 網路封包數據統計分析
◆ 分析各種結構化或非結構化資料
您毋需擔憂對網路Domain KnowHow是否熟悉，只要已俱備資料庫技術，公司會進行產業知識的傳授，對海量資料分析有崇高興趣者，都歡迎到安訊進行深度溝通瞭解
",專科以上,"['nosql', 'sql', '資料庫', '資料分析']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,88,捷智商訊科技股份有限公司,ETL程式設計師,"1. 熟SSIS(SQL Server Integration Service) 或T-SQL
2. 使用ETL Tool 進行資料轉換
3. 依規格文件進行程式開發
4. 熟悉公司Flow Control使用
5. 有開發設計程式相關經驗者佳。",專科、大學,['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,89,新必優資訊股份有限公司,系統分析師 - 台北市區內,"- 客戶使用需求與問題對應 (需求訪談,因應政府法規變動進行維護等)
- 相關文件準備與撰寫 (循序圖, 活動圖, 流程圖等, 程式規格書等 使用Office/Visio)
- 具備系統架構規劃與使用者需求分析經驗 
- 具備資料庫設計技術 (Oracle PL/SQL) 
- 專案文件撰寫能力 
- 開發成果之驗證與測試技術
- 具備政府專案系統分析經驗尤佳
- Spring MVC經驗 (升級/重構spring 架構系統者尤佳)",不拘,"['sql', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,89,90,聯強國際股份有限公司,資料庫工程師(全球第二大IT通路集團),"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

1.資料庫日常維護(監控/備份/異常處理)。
2.資料庫壓力測試，SQL語法調校。
3.資料庫架構規劃和安全管理。
4.配合專案規劃達到最佳化，減少資料重複性。
5.規劃、建置及改善公司資料庫，以提供最佳的資訊系統服務。",專科、大學、碩士,"['sql', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,90,91,STARWIN TRADING L.L.C,((想來杜拜瞧過來))強力招募雲端運維工程師工程師,"我們是杜拜新創的遊戲平台研發公司，從2020年1月至今在杜拜已有7個月的菜鳥資歷，在中東這奢華的杜拜國，經歷了疫情的挑戰，感謝阿拉的PO-PI(保佑)，讓我們越戰越勇，讓StarWin的運營目前持續成長 !

目前超想招聘一群有熱情、喜歡挑戰、想來杜拜體驗奢華，
想跟阿拉結善緣的技術高手，加入我們這人還少少、制度好還要更好的菜鳥公司。
讓大家在StarWin，一起高唱「We are family」!


崗位職責
1.負責線上遊戲的日常維護更新及故障排查，保證各遊戲項目的穩定性。
2.遊戲伺服器的系統運維工作，包括：日常維護更新、故障排查、發佈變更版本、系統監控、系統升級、系統安全、性能優化等
3.保障現有運維系統的穩定運行，並提升系統可靠性和可運維性。
4.開發和維護部署腳本和運維系統平臺，實現自動化部署和自動化運維。

具備專長及條件:
1.熟悉linux作業系統
2.四年以上運維相關經驗
3.熟悉Linux語法、Shell腳本
4.熟悉如nginx、tomcat、MySQL、Redis、Zookeeper、Zabbix 、ansible、docker、ElK等應用管理和維護
5.有AWS、騰訊雲、阿裡雲等系統管理維護經驗佳。
6.熟悉svn、jenkins等版本/發佈工俱佳。
7.自我驅動力強，有強烈責任感。
8.能配合公司初期人手不足，較長的工作時間。
9.其他海外工作1年以上工作經驗者，能快適應異國環境者優先考慮。",專科以上,"['mysql', 'linux']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,92,鉅眾資產管理顧問股份有限公司,網路管理工程師,"主要負責IDC & 相關企業網路之規劃與建置、管理及維護。

1.網路、資安系統進行設定、監控、告警、安全性策略的定義與調校處理。
2.網路、資安解決方案研究與導入、專案維護管理。
3.協助關係企業、提供技術支援、障礙排除。
4.對突發狀況緊急應變、處理、提出相關報告。
5.工作報告、紀錄。
6.機房管理、維護。
7.主管交辦資訊相關之事務。

",專科以上,"['linux', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,93,富智康國際股份有限公司(鴻海集團),【S】資料庫開發與管理工程師(土城),"1.大型資料庫建置、管理及開發
2.解決各種資料庫設計及架構問題
3.為應用端提供良好的設計與建議
4.既有資料庫維運、調校及需求實作",大學、碩士,"['sql', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,93,94,凱信資訊股份有限公司,資訊安全工程師 (資料安全保護),"1. 為客戶提供Guardium, SailPoint管理軟體之安裝，設定與教育訓練
2. 協助客戶建置與維護
3. 本公司提供 在職訓練 (On-Job training)，無經驗亦可
4. 需願意學習，認真負責，主動積極，並具團隊合作精神
5. 對資訊安全領域有熱忱者。",專科、大學、碩士,['linux'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,94,95,優聘資訊科技有限公司,分析工程師_Analysis Engineer,"1. 依據需求創建、增強和整合資料清理及資料庫操作
2. 熟悉系統自動化程序和流程
3. 閱讀、解釋應用程式編碼設計和功能規格以進行編寫或優化
4. 執行進階分析，提供可操作的見解(Actionable Insights)、資料視覺化，及因應不同需求進行客製化報告
5. 使用資料庫技術（MS SQL，MySQL，Oracle）建立腳本和資料表以進行分析
6. 與心理計量研究員合作，共同打造最佳實踐及產業最佳分析服務",大學以上,"['sql', '資料分析', 'sas', 'mysql', 'python', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,95,96,Capital Power Global Limited,資深Java工程師 ( 疫情期间，在台工作),"【上班時間】
正常行政班09：30〜18：30
週休二日+菲律賓當地假期
           
【薪資福利】
1.，底薪+餐補+旅遊津貼且所有權生日，結婚，喪親津貼
2，年假20天，輪班職位有輪/夜班津貼
3，合法長期工作證，版權當地勞工福利，安全有保障
4，有員工宿舍，夜班交通車，員工教育培訓，醫療保險，當地銀行卡帳戶
5，保證年薪13個月

【工作內容】
1. 後端系統的開發、移除錯誤及測試。
2. 系統wiki的編寫和持續維護。
3. 配合項目進行系統分析及系統功能設計。
4. 分析系統性能，找出Root Cause並在與原系統基礎上進行優化。",專科以上,"['java', 'mysql', 'sql']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,96,97,緯創軟體股份有限公司,【 2020軟體技術人才招募】大數據工程師,"【２年以上軟體相關經驗者，歡迎投遞！】資格不符者，恕不另行通知，謝謝!
緯創軟體是台灣唯一專注於全球交付的資訊服務上櫃公司。因應業績不斷成長，需要大量人才加入國際軟體開發團隊。
● 主要專案有：(1)銀行/保險/證券業系統開發、(2) 半導體/面板/電子產業相關系統開發、(3)通訊業系統開發、(4) 資安系統開發、(5)其他新技術應用開發, 如Machine Learning, Big Data…等。
● 歡迎有任一產業經驗的軟體工程師與程式設計師加入我們。資深者佳。
● 因專案眾多，將根據您產業經驗、技術程度、專長類別、與期待工作地點，於面試時詳談工作內容與機會。

1.因應客戶需求做大數據蒐集、分析與開發
2.將資料視覺化, 程式設計, 工商業邏輯分析判讀.
3.依據分析結果提出優化給善方案.
4.主要技術: Hadoop/R/Python.",專科以上,"['java', 'sql', 'python']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,97,98,中國航運股份有限公司,資訊人員-資料整合分析人員,"1.資料庫規劃與維護
2.資料整合分析
3.報表輸出

",大學以上,"['sql', '資料庫']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,98,99,碩達系統股份有限公司,SAP 模組/ABAP顧問,"1.	曾經參與SAP專案規劃，對ERP導入和維運有高度興趣。
2.	曾經參與SAP ERP系統相關導入工作及既有客戶SAP ERP系統維運及優化工作。
3.	負責SAP ABAP開發，熟悉ERP 各模組外掛程式之分析、設計、開發、測試與後續維護。
4.	異質性系統整合及程式效能調教。
5.	配合公司專案需求至客戶端駐點服務。 
6.	工作態度積極、負責，可視狀況獨立作業或與團隊合作，配合公司規定。",專科、大學、碩士,['sap'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,99,100,Ctyco Industry Ltd_中國台業工業有限公司,Software Engineer 軟體工程師 [新廠擴建徵才],"●BPM, SAP Business One系統維護(無經驗，公司可培訓)
●Microsoft .NET 相關應用程式開發及維護
●熟悉 JavaScript, MS SQL Server, XML, MS Office等技術
●進行系統程式之測試與修改
●與同事或廠商協同作業，可溝通、抗壓性強
●主管交辦事項",專科以上,"['javascript', 'sap', 'sql', 'c#']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
